ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00002^Bettany Vance^Γυναίκα^Human^Druid^Circle of the Moon^10^6^Γιατρός ανακούφισης^Drifters^Frozen Edge^Last Hut (SET-057)^Ουδέτερη^16^88^Quarterstaff^+9^1d8+5 θλαστικό^Barkskin; Wind Wall; Goodberry; Entangle^-^φυλαχτό από πεσμένη ουράνια πέτρα; κουτί με λίπος από κάτι ανώνυμο; απλήρωτος λογαριασμός από τρεις πόλεις^Αρνείται να αφήσει πίσω ένα έλκηθρο, αν και έχει σαφώς τελειώσει.^Γίνεται πολύ ήσυχη και πολύ ευγενικη όταν θυμώνει, που είναι χειρότερο.
SL-00008^Iolanthe Vell^Γυναίκα^Aasimar^Rogue^Thief^4^1^Υπάλληλος πύλης^Independent^Frozen Edge^White Shelter (SET-050)^Ουδέτερη^16^32^Hand crossbow (Sneak Attack)^+5^1d6+3 + 2d6 διατρητικό^-^-^φλασκί λαδιού λάμπας χωρίς λάμπα; θερμόμετρο που δείχνει λάθος κατά γνωστή απόκλιση; συντεταγμένες προς ένα άγνωστο από τα 108 Wonders^Ξεθάβει μια πόρτα που είναι θαμμένη από την τελευταία καταιγίδα.^Παλιό τραύμα στο σαγόνι μπερδεύει τα σύμφωνά της· μιλάει αργά για να το αντισταθμίσει και μισεί να επαναλαμβάνει.
SL-00015^Tamsin Pinfold^Γυναίκα^Human^Barbarian^-^2^1/4^Λυχνοκόπος^Lifeweavers^Frozen Edge^White Line (SET-058)^Εχθρική^15^20^Maul^+5^2d6+3 θλαστικό^-^-^γροθιές τυλιγμένες με αλυσίδα; θερμόμετρο που δείχνει λάθος κατά γνωστή απόκλιση; σελίδα σκισμένη από πολύ παλιότερο βιβλίο^Ξεπαγώνει μια κλειδαριά με τα ίδια της τα χέρια αντί να τη σπάσει.^Κοφτές καταφάσεις· χρόνια φωνάζοντας πάνω από τον άνεμο άφησαν τη φωνή της μόνιμα βραχνή.
SL-00028^Hana Cindermark^Γυναίκα^Human^Rogue^-^1^1/8^Καμπανάρης^Independent^Frozen Edge^White Line (SET-058)^Ουδέτερη^14^10^Shortsword (Sneak Attack)^+5^1d6+3 + 1d6 διατρητικό^-^-^σχοινί με κόμπους κάθε μπράτσο; κουτί με λίπος από κάτι ανώνυμο; σελίδα σκισμένη από πολύ παλιότερο βιβλίο^Σημαδεύει ασφαλές πέρασμα με πασσάλους, και ξεμένει από πασσάλους.^Μιλάει για τον εαυτό της σε τρίτο πρόσωπο όταν συζητάει τη δουλειά.
SL-00035^Zoll Jarrow^Άνδρας^Half-Orc^Ranger^Fey Wanderer^19^13^Αναγνώστης των τριών φεγγαριών^Lifeweavers^Frozen Edge^First Hut (SET-059)^Φιλικός^18^177^Longbow^+11^1d8+5 διατρητικό^Guardian of Nature; Silence; Conjure Barrage; Pass Without Trace^-^20 βέλη, 4 με αιχμή nanite; δείγμα πάγου σε σφραγισμένο σωλήνα; μια τούφα μαλλιά σε διπλωμένο χαρτί^Κουβαλάει δύο σακίδια και δεν δίνει λόγο για το δεύτερο.^Χρησιμοποιεί εποχές αντί για μήνες και βρίσκει το ημερολόγιο επιτήδευση.
SL-00039^Orias Marsh^Άνδρας^Tiefling^Cleric^Trickery Domain^17^12^Περιπλανώμενος όρκου^Lifeweavers^Frozen Edge^Rime Station (SET-052)^Ουδέτερος^19^170^Sacred Flame^+11^1d8+5 τέμνον^Mass Healing Word; Hold Person; Spiritual Weapon; Banishment^-^θυμιατό που δεν άναψε ποτέ; παλτό που δεν παγώνει ποτέ; γράμμα που δεν στάλθηκε ποτέ^Σημαδεύει ασφαλές πέρασμα με πασσάλους, και ξεμένει από πασσάλους.^Μιλάει μόνο σε προστακτική, ακόμα και κοινωνικά.
SL-00044^Bardryn Zell^Γυναίκα^Dwarf^Druid^Circle of the Sea^8^5^Φρουρός καραβανιού^Lifeweavers^Frozen Edge^Break Shelter (SET-054)^Φιλική^15^75^Produce Flame^+7^1d8+4 τέμνον^Healing Word; Faerie Fire; Entangle; Heat Metal^-^χάρτης άστρων σε κατεργασμένο δέρμα; δείγμα πάγου σε σφραγισμένο σωλήνα; παιδικό γράμμα με παραλήπτη κάποιον του party^Μοιράζει καύσιμο μπροστά σας για να περάσει το μήνυμα ότι πρέπει να μείνετε.^Μιλάει στα ζώα πιο ζεστά απ' ό,τι στους ανθρώπους, και το ξέρει.
SL-00046^Marek Palgrave^Άνδρας^Human^Druid^Circle of the Land^8^5^Επιστάτης ανάσυρσης^Guardians^Frozen Edge^First Hut (SET-059)^Φιλικός^17^69^Starry Form (The Long Shot)^+7^1d8+4 radiant^Pass Without Trace; Spike Growth; Barkskin; Heat Metal^-^σακούλι με σπόρους εξαφανισμένων χόρτων; δείγμα πάγου σε σφραγισμένο σωλήνα; απλήρωτος λογαριασμός από τρεις πόλεις^Σκάβει καταφύγιο μέσα σε χιονοστιβάδα με εξασκημένη ταχύτητα.^Γρήγορη, υπερδιεγερμένη ομιλία· διακόπτει τον εαυτό του με διορθώσεις και παρενθέσεις.
SL-00052^Kriv Voss^Άνδρας^Dragonborn^Paladin^Oath of Devotion^3^1/2^Φροντιστής σκύλων^Lifeweavers^Frozen Edge^White Camp (SET-051)^Ουδέτερος^18^31^Longsword (Divine Smite)^+5^1d8+3 + 2d8 radiant^Bless; Divine Favor; Shield of Faith; Cure Wounds^-^φθαρμένο από τον δρόμο oath scroll; σχοινί παγωμένο σε μόνιμο κουλούρι; κονσέρβα με μια εξομολόγηση χαραγμένη μέσα^Μετράει απόθεμα serum που είναι λειψό και δεν λέει τίποτα.^Μιλάει τέλεια την τοπική γλώσσα αλλά σκέφτεται σε άλλη, και φαίνεται στη σειρά των λέξεων.
SL-00068^Garrow Ravel^Άνδρας^Human^Barbarian^-^1^1/8^Αγγελιοφόρος μηνυμάτων^Lifeweavers^Frozen Edge^Last Anchorage (SET-056)^Ουδέτερος^14^10^Maul^+5^2d6+3 θλαστικό^-^-^greataxe ορυχείου με λάμα φαγωμένη από μετάλλευμα; βιβλίο καταγραφής παχών πάγου; σπασμένη λεπίδα φυλαγμένη για την επιγραφή της^Φτάνει στον καταυλισμό σας παγωμένος και ζητάει συγγνώμη για την ενόχληση.^Βραχνάδα από παλιό τραύμα στον λαιμό· κρατάει πάντα νερό κοντά.
SL-00089^Emmery Jorvik^Άνδρας^Human^Wizard^-^2^1/4^Οδηγός κάρου^Independent^Frozen Edge^Break Shelter (SET-054)^Εχθρικός^12^15^Ray of Frost^+5^1d8 cold^Grease; Detect Magic; Magic Missile; Shield^-^focus από λιωμένο γυαλί της Otherside; δείγμα πάγου σε σφραγισμένο σωλήνα; απόδειξη θανάτου που δεν έχει συμβεί ακόμα^Υποστηρίζει ότι ο πάγος θα κρατήσει, έχοντας πέσει έξω και στο παρελθόν.^Βραχνιάζει μέσα σε μια ώρα κουβέντας και μοιράζει τις προτάσεις του ανάλογα.
