ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00005^Yazneg Ferrow^Άνδρας^Orc^Cleric^-^1^1/8^Θελήματα^Drifters^The Drift^Dust Depot (SET-012)^Εχθρικός^16^11^Mace^+5^1d6+3 θλαστικό^Guiding Bolt; Healing Word; Cure Wounds; Shield of Faith^-^θυμιατό που δεν άναψε ποτέ; γυαλιά σφραγισμένα από τη σκόνη; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Ξαναχαράζει έναν waypoint stone που κάποιος έχει επίτηδες σβήσει.^Μιλάει σε ενεστώτα για περασμένα γεγονότα· ένα αχνό στατικό κάτω από τις λέξεις.
SL-00020^Ledger Elmsworth^Άνδρας^Awakened Construct^Cleric^Life Domain^11^7^Εκτελεστής^Drifters^The Drift^Long Waystation (SET-002)^Ουδέτερος^18^118^Warhammer^+9^1d8+5 θλαστικό^Bless; Beacon of Hope; Spiritual Weapon; Mass Healing Word^-^φορητό βωμό που διπλώνει σε σακίδιο; κλειδί waystation που δεν ανοίγει πια τίποτα; ανοιχτό ποτέ γράμμα με παραλήπτη το party^Περπατάει δίπλα στο κάρο αντί να καβαλήσει, για λόγους που δεν θα πει.^Κλείνει κάθε πρόταση σαν να ζητάει άδεια.
SL-00021^Kildrak Jorvik^Άνδρας^Dwarf^Warlock^The Archfey^6^4^Κούριερ αρχείου^Guardians^The Drift^Nine Stop (SET-008)^Εχθρικός^14^58^Eldritch Blast^+7^2 δέσμες, 1d10+4 force η καθεμία^Invisibility; Shatter; Darkness; Hold Person^-^φανάρι από καπνισμένο γυαλί; κατάλογος κάθε waystation από εδώ ως την ακτή; εικόνα σε shard, ενός τόπου που κανείς δεν αναγνωρίζει^Μαγειρεύει για έντεκα ενώ έχουν μείνει τέσσερις.^Δεν μπορεί να πει αριθμό χωρίς να πει και τι αριθμεί.
SL-00027^Ruvik Ravensmere^Άνδρας^Dwarf^Ranger^Hunter^7^3^Μάρτυρας συμβολαίων^Drifters^The Drift^Ember Crossing (SET-011)^Ουδέτερος^15^69^Longbow^+7^1d8+4 διατρητικό^Goodberry; Pass Without Trace; Lesser Restoration; Fog Cloud^-^χάρτης πηγών νερού, ενημερωμένος κάθε βδομάδα; εφεδρική πλήμνη τροχού, λάθος μέγεθος; παιδικό σχέδιο ενός αστερισμού που κανείς δεν βρίσκει^Σας διώχνει από ένα κομμάτι του δρόμου χωρίς να εξηγήσει τι υπάρχει πάνω του.^Σταματάει να μιλάει εντελώς όταν μπαίνει κάποιος άλλος και ξεκινάει πάλι όταν φύγει.
SL-00031^Thamior Ravel^Άνδρας^Elf^Paladin^Oath of Devotion^7^3^Πιλότος πάγου^Drifters^The Drift^Far Post (SET-004)^Ουδέτερος^18^83^Warhammer (Divine Smite)^+7^1d8+4 + 2d8 radiant^Divine Favor; Zone of Truth; Magic Weapon; Bless^-^γάντι που ανήκε σε κάποιον άλλο; τρία εφεδρικά shield cells; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Ανταλλάσσει νερό με πληροφορίες σε ξερή στάση, και χρεώνει επίτηδες λιγότερο.^Μιλάει αρκετά σιγά ώστε να σκύβει ο κόσμος, που είναι όλο το νόημα.
SL-00036^Kairon Pike^Άνδρας^Tiefling^Fighter^Eldritch Knight^5^2^Μηχανικός τείχους^Guardians^The Drift^Long Waystation (SET-002)^Ουδέτερος^19^60^Longsword^+7^1d8+4 τέμνον^-^-^βαρίδια ρίψης; κλειδί waystation που δεν ανοίγει πια τίποτα; σφραγισμένο φιαλίδιο με μόνο μια ημερομηνία^Κοιμάται καθιστος με το χέρι ακόμα στο όπλο.^Αργος και μετρημένος· δεν υψώνει ποτέ τη φωνή του και δεν επαναλαμβάνει.
SL-00054^Ilesse Redgrave^Γυναίκα^Human^Ranger^Beast Master^6^3^Μεσάζων χρεών^Guardians^The Drift^Dust Depot (SET-012)^Εχθρική^15^54^Longbow^+7^1d8+4 διατρητικό^Cure Wounds; Ensnaring Strike; Pass Without Trace; Lesser Restoration^-^φαρέτρα με διπλό πάτο; κατάλογος κάθε waystation από εδώ ως την ακτή; όνομα γραμμένο σε χέρι και ξαναγραμμένο κάθε μέρα^Μετράει shield cells σε μια πύλη waystation και αρνείται να την ανοίξει πριν καταγραφεί το τελευταίο.^Ζητάει συγγνώμη πριν από κάθε πρόταση, ακόμα και πριν από τα καλά νέα.
SL-00056^Tulla Cindermark^Γυναίκα^Halfling^Paladin^Oath of Vengeance^8^4^Φρουρός καραβανιού^Drifters^The Drift^Low Crossing (SET-007)^Ουδέτερη^20^81^Warhammer (Divine Smite)^+7^1d8+4 + 2d8 radiant^Aid; Hunter's Mark; Bless; Magic Weapon^-^λάβαρο τυλιγμένο και ποτέ ανοιγμένο; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; μισή σκισμένη χάρτα· το άλλο μισό λείπει^Υποστηρίζει ότι ο δρόμος μπροστά είναι ασφαλής ενώ ετοιμάζεται να πάει από την άλλη.^Παραθέτει γραφές με ακρίβεια και τις εφαρμόζει λάθος, χαρούμενη.
SL-00073^Osgar Hollis^Άνδρας^Halfling^Druid^Circle of the Sea^8^5^Κούριερ συμβολαίων^Independent^The Drift^Long Waystation (SET-002)^Φιλικός^15^75^Produce Flame^+7^1d8+4 τέμνον^Spike Growth; Faerie Fire; Healing Word; Moonbeam^-^χάρτης άστρων σε κατεργασμένο δέρμα; εφεδρική πλήμνη τροχού, λάθος μέγεθος; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Κάθεται στη σκεπή ενός waystation κοιτώντας τον ορίζοντα προς τη λάθος κατεύθυνση.^Καθαρίζει τον λαιμό του πριν από κάθε άρνηση, που κάνει τις αρνήσεις ορατές από μακριά.
SL-00079^Fenna Crane^Γυναίκα^Human^Barbarian^-^1^1/8^Φύλακας φανού σήματος^Independent^The Drift^Low Crossing (SET-007)^Φιλική^14^11^Greataxe^+5^1d12+3 τέμνον^-^-^greatsword με χαυλιόδοντα αγριόχοιρου; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; γράμμα που δεν στάλθηκε ποτέ^Διαβάζει ένα route-charter ανάποδα και κάνει ότι δεν το κάνει.^Δεν χρησιμοποιεί ποτέ ονόματα, μόνο «εσύ» και «αυτοί», ακόμα και για τους απόντες.
SL-00080^Cobb Jorvik^Άνδρας^Halfling^Artificer^Alchemist^10^5^Λοχίας τείχους^Independent^The Drift^Low Crossing (SET-007)^Ουδέτερος^17^111^Eldritch Cannon^+9^2d8+5 τέμνον^Heat Metal; Enhance Ability; Catapult; Dispel Magic^-^σχεδιάγραμμα σχολιασμένο από τρία διαφορετικά χέρια; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; κλειδί χωρίς κλειδαριά^Συνοδεύει ένα κάρο που δεν μεταφέρει απολύτως τίποτα.^Χρησιμοποιεί τον τύπο ευγενείας με όλους, ακόμα και με παιδιά και ζώα.
SL-00085^Nessa Ostergaard^Γυναίκα^Human^Wizard^-^2^1/4^Συλλέκτης μεταλλεύματος^Independent^The Drift^Dust Depot (SET-012)^Ουδέτερη^11^16^Arcane Ray^+5^1d8 force^Shield; Grease; Magic Missile; Sleep^-^τετράδιο αποτυχημένων πειραμάτων, με ευρετήριο; γυαλιά σφραγισμένα από τη σκόνη; χάρτης με ένα σημείο κυκλωμένο και χωρίς ετικέτα^Υποστηρίζει ότι ο δρόμος μπροστά είναι ασφαλής ενώ ετοιμάζεται να πάει από την άλλη.^Μεγάλες παύσεις πριν απαντήσει, σαν να επαληθεύει κάτι.
SL-00087^Sora Emberly^Γυναίκα^Dragonborn^Sorcerer^Draconic Sorcery^3^1/2^Μαθητευόμενος^Independent^The Drift^Long Waystation (SET-002)^Ουδέτερη^12^23^Fire Bolt^+5^110 fire^Shield; Magic Missile; Absorb Elements; Chromatic Orb^-^ουλή που σχηματίζει αστερισμό; μπουκάλι με σκόνη δρόμου κατακαθισμένη σε νερό; κονσέρβα με μια εξομολόγηση χαραγμένη μέσα^Θάβει κάτι σε έναν route marker και σταματάει μόλις σας δει.^Μιλάει για το μέλλον μόνο σε υποθετικό, ποτέ σε οριστική.
