ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00010^Junia Drayton^Γυναίκα^Human^Artificer^Artillerist^3^1/2^Νυχτερινή σκοπιά^The Otherside^The Otherside^Bound House (SET-082)^Φιλική^16^29^Steel Defender + warhammer^+5^1d8+3 τέμνον^Absorb Elements; Faerie Fire; Cure Wounds; Catapult^-^ανταλλακτική κάννη Eldritch Cannon; χρέος γραμμένο με ξένο χέρι; Guardian dog-tag που δεν είναι δικό της^Μετράει πληρωμή σε νόμισμα που δεν κόβεται εδώ και δεκαετίες.^Δίνει οδηγίες με ορόσημα που δεν υπάρχουν πια.
SL-00017^Morgran Dunwich^Άνδρας^Dwarf^Warlock^The Great Old One^7^4^Τεχνίτης wards^The Otherside^The Otherside^Third Reach (SET-080)^Φιλικός^15^76^Pact blade^+7^1d8+4 τέμνον^Shatter; Hold Person; Arms of Hadar; Charm Person^-^φανάρι από καπνισμένο γυαλί; κερί που καίει χωρίς να κοντεύει; νόμισμα στραβωμένο από βολή που δεν αυτόν πέτυχε^Διαβάζει το όνομά σας από μια σελίδα που έχει και ημερομηνία.^Σιγομουρμουρίζει ανάμεσα στις προτάσεις χωρίς να το καταλαβαίνει.
SL-00024^Edda Dane^Γυναίκα^Human^Barbarian^Path of the Wild Heart^8^4^Υπάλληλος επικηρύξεων^The Otherside^The Otherside^Cinder Reach (SET-077)^Φιλική^16^92^Greatsword^+7^2d6+4 τέμνον^-^-^ρόπαλο φτιαγμένο από κέντρο ασπίδας; πρόσκληση χωρίς ημερομηνία; μια χάρη που οφείλει κάποιος τον οποίο το party θα χρειαστεί^Στην άκρη του φωτός της φωτιάς, περιμένει πρόσκληση και δεν τη ζητάει ποτέ.^Μιλάει γρήγορα όταν λέει ψέματα και αργά όταν λέει αλήθεια, και το ξέρει.
SL-00026^Ilma Dunmarrow^Γυναίκα^Goliath^Ranger^-^1^1/8^Ο παράξενος του χωριού^Drifters^The Otherside^Bound House (SET-082)^Εχθρική^14^10^Hand crossbow^+5^1d6+3 διατρητικό^Ensnaring Strike; Fog Cloud; Cure Wounds; Goodberry^-^20 βέλη, 4 με αιχμή nanite; κατάλογος χαρών που της οφείλονται; χάρτης με ένα σημείο κυκλωμένο και χωρίς ετικέτα^Προσφέρει φαγητό εντελώς συνηθισμένο και σας κοιτάει να αποφασίζετε.^Γρήγορη, υπερδιεγερμένη ομιλία· διακόπτει τον εαυτό της με διορθώσεις και παρενθέσεις.
SL-00042^Thoradin Stallard^Άνδρας^Dwarf^Rogue^Arcane Trickster^5^2^Μάρτυρας συμβολαίων^The Otherside^The Otherside^Bound House (SET-082)^Εχθρικός^15^40^Dagger (Sneak Attack)^+7^1d4+4 + 3d6 διατρητικό^-^-^σχοινί με κόμπους κάθε μπράτσο; ύφασμα ποτισμένο με κάτι που δεν στεγνώνει; debt-token από τους Lifeweavers^Αρνείται να πει πού γεννήθηκε και απαντάει σε όλα τα άλλα ειλικρινά.^Χρησιμοποιεί τη γλώσσα των συμβολαίων στην καθημερινή κουβέντα — όροι, αντάλλαγμα, παράβαση.
SL-00043^Garrow Halberd^Άνδρας^Human^Wizard^School of Illusion^8^5^Φρουρός καραβανιού^The Otherside^The Otherside^Sealed Hold (SET-075)^Εχθρικός^12^64^Ray of Frost^+7^2d8 cold^Misty Step; Mirror Image; Detect Magic; Invisibility^-^μηχανισμός με τα τρία φεγγάρια; κερί που καίει χωρίς να κοντεύει; debt-token από τους Lifeweavers^Περιμένει σε σταυροδρόμι με τη λάμπα ήδη αναμμένη για εσάς.^Κάνει τρεις ερωτήσεις πριν απαντήσει σε μία.
SL-00045^Gauge Ashenford^Άνδρας^Awakened Construct^Rogue^Arcane Trickster^4^1^Διαλογέας μεταλλεύματος^Drifters^The Otherside^Cinder Reach (SET-077)^Φιλικός^16^28^Shortsword (Sneak Attack)^+5^1d6+3 + 2d6 διατρητικό^-^-^σετ έξι πανομοιότυπων κλειδιών, ένα από τα οποία δουλεύει; στάχτη σε φιαλίδιο με πώμα; εικόνα σε shard, ενός τόπου που κανείς δεν αναγνωρίζει^Αρνείται να πει πού γεννήθηκε και απαντάει σε όλα τα άλλα ειλικρινά.^Έχει τη συνήθεια να επαναλαμβάνει το όνομά σου μέσα στην κουβέντα, χωρίς λόγο.
SL-00051^Ordo Hollowmere^Άνδρας^Goliath^Warlock^The Celestial^14^9^Μεσάζων της Otherside^Independent^The Otherside^Bound House (SET-082)^Ουδέτερος^15^166^Eldritch Blast^+10^3 δέσμες, 1d10+5 force η καθεμία^Eldritch Blast (5 beams); Counterspell; Forcecage; Fly^-^νεφρίτινο νόμισμα (σήμα Lord); ύφασμα ποτισμένο με κάτι που δεν στεγνώνει; shard με μήνυμα που δεν έχει παίξει ποτέ^Αρνείται να πει πού γεννήθηκε και απαντάει σε όλα τα άλλα ειλικρινά.^Επαναλαμβάνει τους αριθμούς δύο φορές, συνήθεια από δουλειά που δεν κάνει πια.
SL-00062^Orias Saltmarsh^Άνδρας^Tiefling^Cleric^Life Domain^9^6^Πράκτορας χαρτών^The Otherside^The Otherside^Sealed Hold (SET-075)^Εχθρικός^19^83^Sacred Flame^+9^1d8+5 τέμνον^Mass Healing Word; Silence; Cure Wounds; Spirit Guardians^-^ραγισμένο field-bowl (σύμβολο Mender's Bowl); καθρέφτης που δείχνει το δωμάτιο ένα δευτερόλεπτο αργότερα; μια τούφα μαλλιά σε διπλωμένο χαρτί^Προσφέρει φαγητό εντελώς συνηθισμένο και σας κοιτάει να αποφασίζετε.^Μιλάει σε πληθυντικό για τη δουλειά του, αν και δουλεύει μόνος.
SL-00066^Gorka Draye^Γυναίκα^Orc^Rogue^Soulknife^4^1^Μαθητευόμενος^Independent^The Otherside^Third Reach (SET-080)^Φιλική^16^32^Hand crossbow (Sneak Attack)^+5^1d6+3 + 2d6 διατρητικό^-^-^Veiled Lantern lockpicks; χρέος γραμμένο με ξένο χέρι; σύμβολο ενός Circle που δεν συνεδριάζει πια^Τρίβει στάχτη από ένα κούφωμα με πραγματική βιασύνη.^Έχει τη συνήθεια να επαναλαμβάνει το όνομά σου μέσα στην κουβέντα, χωρίς λόγο.
SL-00067^Helja Yarrowdale^Γυναίκα^Dwarf^Rogue^Assassin^9^5^Επόπτης nanite^Independent^The Otherside^Cinder Reach (SET-077)^Ουδέτερη^15^69^Shortsword (Sneak Attack)^+9^1d6+5 + 5d6 διατρητικό^-^-^Veiled Lantern lockpicks; στάχτη σε φιαλίδιο με πώμα; λίστα με έξι ονόματα, τα τέσσερα διαγραμμένα^Τρίβει στάχτη από ένα κούφωμα με πραγματική βιασύνη.^Επαναλαμβάνει ως ερώτηση το τελευταίο που της είπαν, κερδίζοντας ένα δευτερόλεπτο σκέψης.
