ID^Name^Gender^Ancestry^Class^Subclass^Level^CR^Role^Faction^Region^Settlement^Disposition^AC^HP^Main_Attack^Attack_Bonus^Damage^Key_Spells^Constellation^Notable_Items^First_Met^Speech_Quirks
SL-00023^Hana Jessup^Γυναίκα^Human^Sorcerer^Draconic Sorcery^10^6^Επικαλητής καταιγίδας^Wilds Circles^Wyldermoore^Mourn Hollow (SET-043)^Ουδέτερη^12^74^Ray of Frost^+9^2d8 cold^Magic Missile; Twinned Haste; Misty Step; Fireball^-^ουλή που σχηματίζει αστερισμό; δεμάτι αποξηραμένα βότανα δεμένα με κόκκινη κλωστή; ένταλμα με τη δική της περιγραφή πάνω^Κουβαλάει ένα άδειο φέρετρο προς τη γραμμή των δέντρων, μόνη.^Αβίαστη και υπερβολικά ευγενικη· διατυπώνει κάθε απειλή ως ερώτηση.
SL-00030^Marek Karrow^Άνδρας^Human^Paladin^Oath of Devotion^7^3^Λοχίας περιμέτρου^Wilds Circles^Wyldermoore^Bell Hollow (SET-041)^Ουδέτερος^18^78^Longsword (Divine Smite)^+7^1d8+4 + 2d8 radiant^Compelled Duel; Magic Weapon; Bless; Hunter's Mark^-^κατάλογος όσων έσωσε, πιο μικρός από τον άλλο κατάλογο; σκισμένη σελίδα από κατάστιχο τάφων; παιδικό γράμμα με παραλήπτη κάποιον του party^Μετράει τους τάφους και βρίσκει τον αριθμό σωστό, που αυτόν ανακουφίζει ορατά.^Τικ να αγγίζει τον λαιμό του πριν μιλήσει, από τραύμα που έχει κλείσει προ πολλού.
SL-00038^Edric Overstone^Άνδρας^Human^Paladin^Oath of Vengeance^15^9^Φωνή της κοιλάδας^Wyldermoore Village^Wyldermoore^Bell Hollow (SET-041)^Εχθρικός^19^182^Longsword (Divine Smite)^+10^1d8+5 + 2d8 radiant^Zone of Truth; Crusader's Mantle; Haste; Banishment^-^κατάλογος όσων έσωσε, πιο μικρός από τον άλλο κατάλογο; πέτρα παρμένη από τάφο και μη επιστραμμένη; παιδικό σχέδιο ενός αστερισμού που κανείς δεν βρίσκει^Γυρίζει από τον βάλτο χωρίς τίποτα και τον συγχαίρουν γι' αυτό.^Αφηγείται σιγανά τις ίδιες του τις κινήσεις όσο τις κάνει.
SL-00049^Tessy Hearthstone^Γυναίκα^Halfling^Fighter^Champion^15^9^Φύλακας του αρχείου^Wilds Circles^Wyldermoore^Wither Barrow (SET-047)^Εχθρική^20^180^Longsword^+10^1d8+5 τέμνον^-^-^Guardian lance; κούκλα ραμμένη από τρία διαφορετικά υφάσματα; γραπτή ομολογία υπογεγραμμένη από κάποιον που ζει ακόμα^Θάβει ένα νεκρό ζώο με περισσότερη τελετουργία απ' όση φαίνεται δικαιολογημένη.^Δεν χρησιμοποιεί ποτέ ονόματα, μόνο «εσύ» και «αυτοί», ακόμα και για τους απόντες.
SL-00053^Solenn Lindmark^Γυναίκα^Elf^Ranger^Fey Wanderer^3^1/2^Μαθητευόμενος σιδεράς^Wyldermoore Village^Wyldermoore^Bell Hollow (SET-041)^Φιλική^15^27^Hand crossbow^+5^1d6+3 διατρητικό^Ensnaring Strike; Fog Cloud; Cure Wounds; Goodberry^-^φαρέτρα με διπλό πάτο; δεμάτι αποξηραμένα βότανα δεμένα με κόκκινη κλωστή; κονσέρβα με μια εξομολόγηση χαραγμένη μέσα^Φυλάει ένα χωράφι κρατώντας όπλο που φανερά δεν ξέρει να πιάσει.^Απαντάει «όχι» σε κάθε πρώτη ερώτηση αντανακλαστικά, και μετά το ξανασκέφτεται.
SL-00059^Hollow Ravel^Γυναίκα^Awakened Construct^Fighter^Eldritch Knight^10^5^Αξιωματικός σημάτων^Wyldermoore Village^Wyldermoore^Grave Green (SET-044)^Εχθρική^18^115^Lance (mounted)^+9^1d12+5 διατρητικό^-^-^βραχιόλι που σταματάει λεπίδα και το δείχνει; σκισμένη σελίδα από κατάστιχο τάφων; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Κουβαλάει ένα άδειο φέρετρο προς τη γραμμή των δέντρων, μόνη.^Απαγγέλλει τιμές, βάρη και αποστάσεις με απόλυτη ακρίβεια και ξεχνάει ονόματα ακαριαία.
SL-00063^Halla Vale^Γυναίκα^Human^Cleric^Life Domain^7^4^Επιστάτης ορυχείου^Wilds Circles^Wyldermoore^Grave Green (SET-044)^Ουδέτερη^17^64^Sacred Flame^+7^1d8+4 τέμνον^Cure Wounds; Spiritual Weapon; Guiding Bolt; Bless^-^κομποσκοίνι με τέσσερις χάντρες να λείπουν; κούκλα ραμμένη από τρία διαφορετικά υφάσματα; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Παρακολουθεί ένα σπίτι που δεν έχει κατοικηθεί εδώ και χρόνια.^Βουβη από παιδί· χειρονομεί με άνεση και περιμένει να προλαβαίνετε.
SL-00064^Renk Vale^Άνδρας^Half-Orc^Wizard^School of Illusion^10^6^Καπετάνιος route^Wilds Circles^Wyldermoore^Grave Green (SET-044)^Ουδέτερος^13^87^Ray of Frost^+9^2d8 cold^Scorching Ray; Invisibility; Sleep; Grease^-^γυάλινη ράβδος που βουίζει κοντά σε shields; πέτρα παρμένη από τάφο και μη επιστραμμένη; πειθαρχική αναφορά, ανοιχτή ακόμα^Περιμένει να περάσει η βροχή σε ένα κατώφλι αντί να δεχτεί καταφύγιο.^Επαναλαμβάνει ως ερώτηση το τελευταίο που του είπαν, κερδίζοντας ένα δευτερόλεπτο σκέψης.
SL-00065^Mott Prendergast^Άνδρας^Tiefling^Rogue^Soulknife^3^1/2^Φύλακας φανού σήματος^Independent^Wyldermoore^Thorn Barrow (SET-037)^Εχθρικός^15^24^Hand crossbow (Sneak Attack)^+5^1d6+3 + 2d6 διατρητικό^-^-^τράπουλα σημαδεμένη, και μάλιστα άσχημα; δεμάτι αποξηραμένα βότανα δεμένα με κόκκινη κλωστή; εικόνα σε shard, ενός τόπου που κανείς δεν αναγνωρίζει^Κουβαλάει ένα άδειο φέρετρο προς τη γραμμή των δέντρων, μόνος.^Τραυλισμός που καθαρίζει εντελώς όταν δίνει διαταγές.
SL-00071^Rilla Southgate^Γυναίκα^Halfling^Druid^Circle of the Sea^8^5^Επιστάτης ανάσυρσης^Independent^Wyldermoore^Grave Green (SET-044)^Ουδέτερη^17^79^Starry Form (The Long Shot)^+7^1d8+4 radiant^Moonbeam; Thunderwave; Entangle; Spike Growth^-^χάρτης άστρων σε κατεργασμένο δέρμα; λίστα σπιτιών που πρέπει να ελεγχθούν πριν σκοτεινιάσει; απλήρωτη επικήρυξη για τέρας ήδη νεκρό^Σε έναν τάφο χωρίς σήμανση, έχοντας προφανώς σταθεί εκεί ώρες.^Σφυρίζει ελαφρά στα σίγμα από ένα δόντι που δεν αντικατέστησε ποτέ.
SL-00083^Vurga Jarrow^Γυναίκα^Half-Orc^Rogue^Thief^10^5^Τοπογράφος shaft^Wyldermoore Village^Wyldermoore^Grave Green (SET-044)^Ουδέτερη^15^73^Dagger (Sneak Attack)^+9^1d4+5 + 5d6 διατρητικό^-^-^σετ έξι πανομοιότυπων κλειδιών, ένα από τα οποία δουλεύει; ένα όνομα που δεν θα το πει φωναχτά; ένταλμα με τη δική της περιγραφή πάνω^Κουβαλάει νερό από ένα πηγάδι που το χωριό έπαψε να χρησιμοποιεί.^Λέει «εμείς» για τις αποφάσεις και «εγώ» για τα λάθη.
SL-00084^Glass-Case Fenwright^Γυναίκα^Awakened Construct^Fighter^Champion^3^1/2^Μαθητευόμενος εισπράκτορα^Wyldermoore Village^Wyldermoore^Wither Barrow (SET-047)^Ουδέτερη^17^30^Lance (mounted)^+5^1d12+3 διατρητικό^-^-^Guardian lance; σκισμένη σελίδα από κατάστιχο τάφων; πορτρέτο κάποιου που το party θα συναντήσει αργότερα^Κρεμάει κάτι σε πάσσαλο φράχτη που το χωριό προσπερνάει χωρίς να το κοιτάξει.^Απευθύνεται σε ομάδες και όχι σε άτομα, ακόμα κι όταν είστε ένας.
SL-00092^Maren Quarrick^Γυναίκα^Human^Cleric^Trickery Domain^7^4^Επικαλητής καταιγίδας^Independent^Wyldermoore^Bell Hollow (SET-041)^Εχθρική^19^61^Mace^+7^1d6+4 θλαστικό^Hold Person; Cure Wounds; Shield of Faith; Guiding Bolt^-^λίστα ονομάτων που διαβάζεται φωναχτά κάθε αυγή; ένα όνομα που δεν θα το πει φωναχτά; κομμάτι συμβολαίου με τρεις υπογραφές και κανέναν όρο^Περιμένει να περάσει η βροχή σε ένα κατώφλι αντί να δεχτεί καταφύγιο.^Δεν λέει τα ονόματα των νεκρών φωναχτά και βάζει στη θέση τους «αυτός που».
SL-00102^Casimir Underhill^Άνδρας^Human^Wizard^-^2^1/4^Επισκευαστής φραχτών^Wilds Circles^Wyldermoore^Willow Hollow (SET-038)^Ουδέτερος^11^17^Fire Bolt^+5^110 fire^Shield; Grease; Detect Magic; Magic Missile^-^spellbook με δικές του σημειώσεις; σκισμένη σελίδα από κατάστιχο τάφων; σφραγισμένο έγγραφο που ανοίγει μόνο στη Starfall 15^Σας ζητάει, πολύ ευγενικά, να φύγετε πριν σκοτεινιάσει, χωρίς να πει τι γίνεται μετά.^Υπερπροφέρει κάθε λέξη, έχοντας μάθει τη γλώσσα αργά και τυπικά.
SL-00103^Vaelis Stoneglass^Άνδρας^Elf^Artificer^Armorer^3^1/2^Σταβλίτης^Wilds Circles^Wyldermoore^Wither Barrow (SET-047)^Εχθρικός^16^27^Thunder Gauntlets^+5^1d8+3 θλαστικό^Catapult; Detect Magic; Faerie Fire; Absorb Elements^-^κιτ βαθμονόμησης shield-node; κερί φυλαγμένο για την Leafwilt 28; τίτλος ιδιοκτησίας για κτίριο που έχει κατεδαφιστεί^Μαζεύει κάτι στη γραμμή των δέντρων που δεν είναι τροφή.^Μιλάει για τον εαυτό του σε τρίτο πρόσωπο όταν συζητάει τη δουλειά.
